carat,clarity,color,cut,xdimension,ydimension,zdimension,depth,table,price
0.4,SI1,J,VERY GOOD,4.8,4.78,2.96,62.2,48,1400
1.15,IF,G,IDEAL,6.5,5.85,4.02,62.0,58,9800
0.55,SI2,I,FAIR,5.3,5.85,3.29,62.1,54,1700
0.35,I1,G,IDEAL,4.5,4.52,2.79,62.0,48,900
0.75,VVS1,H,GOOD,5.8,5.81,3.715,62.3,56,4600
0.4,VVS2,J,GOOD,4.7,4.69,2.91,62.1,48,1800
0.55,I1,G,VERY GOOD,5.3,5.85,3.28,62.4,57,2300
0.7,SI2,D,GOOD,5.7,5.69,3.53,62.5,48,4000
0.9,SI1,E,PREMIUM,6.2,6.22,3.715,62.3,59,6600
0.5,VVS2,F,GOOD,5.2,5.85,3.22,62.6,58,3100
1.2,VVS1,E,PREMIUM,6.8,5.85,4.2,62.7,58,10200
0.55,VVS2,D,VERY GOOD,5.4,5.85,3.34,62.4,56,2800
1.3,SI1,H,IDEAL,6.9,6.92,3.715,62.8,59,9900
0.75,IF,F,GOOD,5.9,5.85,3.65,62.5,57,4700
0.5,SI2,I,VERY GOOD,5.1,5.85,3.17,62.1,56,2200
1.1,SI2,H,FAIR,6.6,6.58,3.715,62.5,54,7100
0.9,SI1,I,VERY GOOD,6.2,5.85,3.85,62.2,59,6700
0.5,VVS2,F,PREMIUM,5.2,5.23,3.715,62.1,58,3200
1.15,VVS2,H,FAIR,6.7,6.71,4.14,62.6,48,9200
0.7,SI1,I,PREMIUM,5.7,5.68,3.53,62.7,58,4100
0.65,VVS1,D,GOOD,5.6,5.57,3.715,62.4,56,3600
0.55,I1,F,FAIR,5.3,5.85,3.28,62.1,54,2300
0.6,SI2,E,PREMIUM,5.5,5.49,3.715,62.2,57,3400
0.75,SI1,I,VERY GOOD,5.9,5.88,3.65,62.3,48,4400
1.4,VVS1,E,PREMIUM,7.1,5.85,4.4,62.7,58,11500
1.05,I1,E,PREMIUM,6.7,6.68,3.715,62.5,57,7300
0.55,VVS1,H,GOOD,5.3,5.29,3.715,62.1,58,3100
1.15,SI1,G,VERY GOOD,6.8,6.82,4.21,62.6,58,9300
0.7,SI2,H,IDEAL,5.7,5.68,3.52,62.5,48,4200
1.3,I1,I,PREMIUM,7.0,5.85,4.33,62.7,56,9800
1.2,VVS2,G,FAIR,6.9,6.89,3.715,62.8,54,10100
0.5,SI1,H,PREMIUM,5.1,5.85,3.16,62.3,57,3000
0.45,VVS2,E,GOOD,4.9,5.85,3.02,62.4,55,2600
0.6,VVS1,H,GOOD,5.5,5.49,3.715,62.1,56,3600
1.1,VVS1,E,VERY GOOD,6.7,5.85,4.15,62.2,56,9500
0.45,SI1,F,FAIR,4.9,4.88,3.715,62.5,54,2100
0.7,VVS2,G,IDEAL,5.7,5.85,3.54,62.4,55,4300
0.8,VVS2,H,VERY GOOD,6.0,5.85,3.72,62.7,57,6300
0.55,SI1,I,FAIR,5.4,5.39,3.33,62.6,48,2800
1.3,SI2,H,FAIR,7.0,5.85,4.33,62.7,58,10200
0.5,VVS1,I,IDEAL,5.2,5.19,3.715,62.8,55,3200
1.05,VVS2,E,IDEAL,6.6,6.62,4.09,62.6,48,9300
0.4,SI1,F,FAIR,4.7,5.85,2.92,62.1,56,2400
0.55,VVS1,H,FAIR,5.3,5.85,3.29,62.3,59,3100
0.8,I1,G,FAIR,6.1,6.08,3.715,62.5,57,4000
0.4,SI2,F,PREMIUM,4.8,4.78,3.715,62.4,58,2100
0.85,VVS2,H,FAIR,6.2,6.21,3.715,62.2,57,6500
0.45,VVS1,G,IDEAL,4.9,5.85,3.03,62.1,59,2600
1.2,SI2,F,PREMIUM,6.9,6.88,4.27,62.5,56,10100
0.5,VVS1,I,FAIR,5.1,5.12,3.715,62.6,57,3200
1.4,VVS2,H,GOOD,7.2,5.85,4.45,62.7,58,12000
0.75,SI1,F,PREMIUM,5.9,5.91,3.66,62.3,59,4600
0.4,SI1,I,PREMIUM,4.7,4.69,3.715,62.2,55,2200
0.75,VVS1,H,GOOD,5.9,5.89,3.715,62.7,56,4400
1.35,SI2,E,IDEAL,7.2,5.85,4.46,62.8,57,10700
1.25,SI2,G,FAIR,6.9,6.91,3.715,62.3,58,10500
0.5,VVS1,H,VERY GOOD,5.2,5.85,3.22,62.1,57,3100
0.45,VVS1,E,PREMIUM,4.8,4.81,3.715,62.5,55,2500
0.55,VVS1,F,GOOD,5.4,5.38,3.715,62.4,59,3300
1.2,I1,G,PREMIUM,6.8,6.81,4.21,62.7,48,10100
0.35,SI1,I,PREMIUM,4.5,4.49,3.715,62.3,56,2100
0.5,SI2,E,PREMIUM,5.1,5.11,3.715,62.5,55,2900
1.15,VVS1,G,PREMIUM,6.8,6.85,4.23,62.7,48,9800
0.4,SI2,H,FAIR,4.7,5.85,2.91,62.1,58,2000
0.45,SI1,F,VERY GOOD,4.9,4.89,3.715,62.4,59,2300
